Objectives,Problem,Data,Methods_Techniques,Results
"The main purpose of this study was to review recent trends in commercial workplace technologies that monitor and manage occupational risks, injuries, accidents, and diseases to protect and promote total worker health. ","The study addressed the need for improved safety, health, and productivity of workers in workplaces, focusing on the challenges of effectively identifying, eliminating, substituting, and controlling occupational hazards. ",The study did not specify the use of unique data sets as it is a review of existing technologies and trends in workplace safety and health monitoring. ,"The study utilized a review methodology, outlining and analyzing the implementation and effectiveness of smart hardware, software tools, and connected worker solutions in the workplace setting. ","The findings demonstrate significant ground-level benefits of using workplace technologies, including real-time visibility of frontline workers, work environments, distributed assets, workforce efficiency, and safety compliance. The study details various wearables and connected platforms that aid in managing ergonomics, fatigue, health risks like musculoskeletal and respiratory disorders, and enhancing productivity through augmented reality and asset tracking."
The main purpose of this study is to enhance safety management in steel mills by integrating wearable sensing devices (WSDs) and advanced computer vision technologies (CVT) to create a proactive and effective safety management system. ,"The study addresses the issue of traditional hazard identification methods in steel mills being largely manual and subjective, with a significant chance for human error, leading to persistent safety hazards. ","The abstract does not specify the exact data used, focusing instead on the conceptual framework and expected outcomes. ",The study proposes a conceptual framework that combines wearable sensing devices and computer vision technologies. This synergy is intended to improve hazard identification and safety management by minimizing human error and increasing real-time monitoring capabilities. ,The expected outcome is a significant reduction in safety risks and a shift in hazard management protocols due to the minimization of human errors and enhanced real-time monitoring in steel mills. This integration promises a transformation in how safety is managed in high-risk environments.
The main purpose of the study was to assess whether the new technological advances associated with Industry 4.0 and Industry 5.0 could contribute to the improvement of Occupational Safety and Health (OSH). ,The study addressed the challenge of determining the impact of recent technological innovations on worker safety and health amid the rapid advancements of Industry 4.0 and the human-centered focus of Industry 5.0. ,The data used in the study was sourced from the SCOPUS and WEB of SCIENCE bibliographic databases using specific keywords to establish the relationship between the new technologies and OSH. ,"The study employed both quantitative and qualitative analyses of articles selected from the databases to examine if and how these technologies benefit OSH, and in which areas they are or could be most effectively applied. ","The study found that current interest in these technologies is primarily concentrated on risk assessment. Additionally, it identified Wearables and Artificial Intelligence as the two technologies most relevant to enhancing Occupational Safety and Health."
"The main purpose of this study was to predict the risk of noise-induced hearing loss (NIHL) using a back-propagation neural network (BPNN) model, aiming to provide an early, simple, and accurate prediction method for NIHL. ",The challenge addressed was the need for an effective prediction method for noise-induced hearing loss that can be utilized in industrial settings to mitigate the risk among workers. ,"The study involved 3266 Han male workers from three automobile manufacturing industries in China. Data collected included personal life habits, occupational health test results, and a history of occupational exposure. ","The study employed the back-propagation neural network (BPNN) model and compared its performance with logistic regression models. Key predictive factors for NIHL were identified using univariate, stepwise, and lasso-logistic regression techniques to serve as input variables for the BPNN. ","The BPNN model significantly outperformed logistic regression models, achieving a sensitivity of 83.33%, specificity of 85.92%, accuracy of 85.51%, positive predictive value of 52.85%, and negative predictive value of 96.46%. The area under the receiver operating curve was 0.926, indicating superior predictive performance over other models. Factors such as cumulative noise exposure, symptoms related to the auditory system, age, use of headphones, exposure to high temperatures, and duration of noise exposure were identified as important predictors of NIHL in the BPNN model."
"The main purpose of the study was to explore the effectiveness of wearable systems for monitoring fatigue in industrial settings under the framework of Industry 5.0, which emphasizes human-centered industrial operations and human-machine synergy. ",The study addressed the challenge of objectively assessing fatigue to enhance occupational health and safety. It particularly focused on overcoming the issue of inter-individual variability that makes traditional one-size-fits-all machine learning models unsuitable for this task. ,The study used a real-world dataset for its experimental analysis. ,The research applied a pattern discovery pipeline based on unsupervised learning to analyze the data collected from wearable devices. ,"The findings revealed the limitations of classical approaches to fatigue assessment, underscoring the need for more advanced, tailored machine learning models to effectively monitor fatigue in various individuals."
N/A,N/A,N/A,N/A,N/A
The main purpose of this study was to enhance safety on construction sites by automating the monitoring of worker behaviors using deep learning technologies to detect compliance with safety regulations. ,The continuous incidence of fatal falls from height at construction sites highlights the need for improved safety monitoring. Existing methods that rely heavily on manual observations by safety managers have limitations. ,"The study used data related to the height from detected objects on construction sites, specifically focusing on ladder use within these environments. ","The study employed a deep learning approach, wherein the height of the detected objects' bounding box is estimated using a target marker aligned with ladder manufacturing standards. Additionally, an optimized loss function and an attention mechanism were applied to better distinguish between workers, coworkers, and unrelated persons engaged in ladder activities. ","The study's experimental results indicated an improvement in average precision from 87.60% to 90.44%. The technique demonstrated effectiveness in monitoring unsafe ladder behaviors, achieving a 91.40 F1-Score when evaluated against guidelines from the Korea Occupational Safety and Health Agency (KOSHA). These results suggest the method's potential for real-time safety monitoring in construction settings."
"The main goal of this study is to investigate the willingness of Occupational Health and Safety (OHS) professionals in the Brazilian industry to adopt cognitive systems (CS) and low expert systems (ES) for risk assessment management, using the UTAUT framework to understand their potential adoption behavior. ",The problem addressed is the resistance to adopting disruptive AI innovations in the OHS sector in Brazil. ,"The data used in this study consisted of responses from a survey conducted among 88 OHS professionals across various states in Brazil, utilizing a platform designed for OHS risk assessment. ","The methods involved using the UTAUT (Unified Theory of Acceptance and Use of Technology) framework for the survey, analysis through Structural Equation Modeling in SmartPLS software, and statistical comparison between two scenarios - adoption of a Low Expert System and a Cognitive System for OHS. ","The findings indicated that there is a statistically significant higher UTAUT score for ES compared to CS, suggesting that OHS professionals in this sample were less willing to adopt Cognitive Systems. Factors influencing this include perceived lack of control, existing legislation, and barriers related to AI adoption within OHS. The results emphasize the importance of advancing Human-Centered AI approaches and reinforce UTAUT as a vital framework for AI adoption studies in the OHS industry."
The main purpose of this study was to assess the alignment between human analysts and a Language Model (LM) in identifying risk factors in Occupational Safety and Health Administration (OSHA) accident reports. ,"The study addressed the complexity of safety risk assessment in the construction industry, challenged by the evolving work environments, diverse labor forces, time constraints, regulatory intricacies, and inconsistent practices. Additionally, it tackles the existing gap in integrating human analysts with language AI models in safety assessments. ",The data used in the study consisted of Occupational Safety and Health Administration (OSHA) accident reports. ,"The study involved categorizing error types by human analysts and the LM, establishing an acceptance threshold for LM-generated responses, and evaluating the inter-rater reliability in construction accident content analysis. ","The findings revealed a significant convergence between human and machine responses in assessing safety risks. Additionally, the study identified potential hallucination effects in generative AI, which provides insights for improving safety risk assessments within the construction industry."
The main purpose of this study was to propose an improved method for assessing the risk of work-related musculoskeletal disorders (WMSDs) using a deep learning-based approach that enables rapid entire body assessment (REBA) from videos. ,"The challenge addressed was the insufficiency of traditional 2D image-based methods in capturing the complex 3D movements and postures involved in many occupational tasks, which are crucial for accurate risk assessment of WMSDs. ",The study utilized working videos as the primary data for analyzing and assessing the REBA scores. ,The proposed method involved using deep learning for 3D pose reconstruction from the input videos and automatically outputting the corresponding REBA scores. This method was designed to handle the complexities of real-world movements more effectively than previous 2D approaches. ,"The main finding of the study was that the new method achieved an average precision of 94.7% on real-world data, demonstrating a performance comparable to that of ergonomic experts. Furthermore, it showed strong generalization capabilities across multiple industries, indicating its broad applicability for automated and accurate risk assessment of WMSDs."
The main goal of this study was to propose an automated ergonomic risk assessment method that focuses on assessing lower body postural risks among construction workers using computer vision and machine learning. ,"The study addresses the issue of work-related musculoskeletal disorders (WMSDs), which are prevalent among construction workers. Traditional methods for postural assessment are typically time-intensive, subjective, and can have high setup costs and intrusive nature. ",The data used in the study included raw video input which was analyzed to identify postural features and assess ergonomic risks. ,"The study utilized a state-of-the-art 3D pose estimation algorithm for extracting postural features by identifying skeleton coordinates frame by frame from video data. For ergonomic assessment, knee angles were calculated using these coordinates, and a support vector machine (SVM) classifier was employed for posture recognition. ","The main findings revealed that the automated method could detect postures with nearly 95% accuracy, demonstrating its applicability and reliability. The method provides a comprehensive risk dashboard, enhancing the ability to intervene and prevent WMSDs in construction workers by furnishing quantified evidence."
"The primary goal of this study was to develop a model using computer vision and deep learning methods to enhance safety management on construction sites by identifying workers, their personal protective equipment (PPE), and surrounding heavy equipment from CCTV footage. ","Despite numerous efforts to improve safety management, construction sites continue to experience incidents that affect worker health and project progress. Current methods may be inadequate in preventing or quickly responding to these safety incidents. ","The study used a proprietary dataset to train the model, which included CCTV footage capturing construction site operations. ","The You Only Look Once model, version 5 (YOLO-v5), a deep learning-based object detection model, was employed to identify and analyze images from the construction sites. This involved recognizing construction workers, PPE, and equipment, and incorporating additional criteria such as weather conditions for comprehensive hazard analysis. ","The developed detection model demonstrated promising results in tests, showing its capability for rapid and accurate object recognition on construction sites. This suggests potential improvement in real-time safety management and incident response through enhanced automated monitoring capabilities."
"The main purpose of the study was to explore the impact of advanced technological applications including AI-driven systems on improving forecasting market demand, enhancing safety measures, and streamlining human resource management processes. ","The challenge addressed was the need for more efficient and precise methods in forecasting, safety enhancement, and human resource management within industries, utilizing modern technologies. ",The study utilized data from automotive sales spanning from 2016 to 2023 to analyze market trends and demand forecasting. ,"The study employed Long Short-Term Memory (LSTM) models for automating the screening of job applications, Arduino microcontrollers combined with temperature, fire, and smoke sensors for safety improvements, and Artificial Neural Networks (ANN) for forecasting market demand. ","The results indicated that LSTM models effectively enhanced human resource management by speeding up the recruitment process. Arduino-based sensors provided quick and accurate detection of potential risks, thereby improving safety in industrial settings. The ANN model was notably successful, achieving a 100% accuracy rate in predicting automotive sales for 2022, indicating its utility in strategic planning and resource management."
The main purpose of this study was to develop a machine learning-based method for assessing the risk of muscle injuries among electric welders to improve their safety. ,The study addressed the challenge posed by the lack of expertise and accuracy in assessing muscle injury risks among electric welders. ,The data used in the study consisted of images of poses from 500 electric welders. ,"The study applied image processing as a machine learning method, using OpenCV and Mediapipe to train images for risk assessment. This was based on the Rapid Entire Body Assessment (REBA) methodology. ","The results indicated that the Artificial Intelligence Risk Assessment of Muscle Injuries (AIRAMI) system was effective and accurate in evaluating the risk of muscle injuries for electric welders, using REBA score criteria and color-coded icon alerts for each assessment level."
N/A,N/A,N/A,N/A,N/A
"The main purpose of this study was to identify which data mining methods, among supervised, unsupervised, or others, are most appropriate for various investigation objectives, types, and sources of data in the construction sector. ",The study addresses the challenge of managing and analyzing the variable and complex data specific to the construction industry to enhance occupational health and safety. ,"The data for this review came from construction sector studies published between 2014 and 2023, which were accessible in the Scopus and ProQuest databases. ",The research applied hierarchical clustering for exploratory analysis and principal component analysis (PCA) and meta-analysis for in-depth analysis. Selection criteria for studies were based on the PRISMA (Preferred Reporting Items for Systematic Review and Meta-Analyses) guidelines. ,"Analysis of the selected studies yielded a classification of data mining methods into two main groups based on their effectiveness and application areas. Supervised methods were more effectively correlated with institutional datasets used for predictive and classificatory purposes, while unsupervised methods were better suited for projects involving simulation, literature, and text data in monitoring and decision-making processes. The meta-analysis quantitatively established that supervised methods are statistically more effective than unsupervised methods in the construction industry."
